date,time,event_type,payload
"2026-04-06","2026/4/6 22:09:34","app.launched","{}"
"2026-04-06","2026/4/6 22:10:06","auth.login","{}"
"2026-04-06","2026/4/6 22:11:12","settings.saved","{""settingType"":""profile""}"
"2026-04-06","2026/4/6 22:11:17","settings.saved","{""settingType"":""profile""}"
"2026-04-06","2026/4/6 22:13:12","nav.date_changed","{""to"":""2026-04-07"",""from"":""2026-04-06"",""method"":""arrow""}"
"2026-04-06","2026/4/6 22:13:13","nav.date_changed","{""to"":""2026-04-06"",""from"":""2026-04-07"",""method"":""arrow""}"
"2026-04-06","2026/4/6 22:13:14","nav.date_changed","{""to"":""2026-04-05"",""from"":""2026-04-06"",""method"":""arrow""}"
"2026-04-06","2026/4/6 22:13:15","nav.date_changed","{""to"":""2026-04-06"",""from"":""2026-04-05"",""method"":""arrow""}"
"2026-04-06","2026/4/6 22:13:16","memory.opened","{}"
"2026-04-06","2026/4/6 22:13:42","task.created","{""title"":""口语前两问"",""source"":""editor"",""taskId"":""t-1775484822776-saj9""}"
"2026-04-06","2026/4/6 22:14:44","task.created","{""title"":""老托阅读一道"",""source"":""editor"",""taskId"":""t-1775484884608-2dfi""}"
"2026-04-06","2026/4/6 22:14:46","mode.widget_entered","{}"
"2026-04-06","2026/4/6 22:14:53","mode.widget_expanded","{}"
"2026-04-06","2026/4/6 22:15:19","task.created","{""title"":""日语：N4单词全总结完"",""source"":""editor"",""taskId"":""t-1775484919745-5uqr""}"
"2026-04-06","2026/4/6 22:15:25","mode.widget_entered","{}"
"2026-04-06","2026/4/6 22:24:34","mode.widget_expanded","{}"
"2026-04-06","2026/4/6 22:24:36","mode.widget_entered","{}"
"2026-04-06","2026/4/6 22:24:36","plan.brain_dump","{""tasks"":[{""id"":""t-1775484822776-saj9"",""title"":""口语前两问""},{""id"":""t-1775484884608-2dfi"",""title"":""老托阅读一道""},{""id"":""t-1775484919745-5uqr"",""title"":""日语：N4单词全总结完""},{""id"":""t-1775485168222-tzvm"",""title"":""主题词汇""}],""taskCount"":4}"
"2026-04-06","2026/4/6 22:24:36","plan.focus_selected","{""taskId"":""t-1775484884608-2dfi"",""taskTitle"":""老托阅读一道""}"
"2026-04-06","2026/4/6 22:24:45","session.started","{""taskId"":""t-1775484884608-2dfi"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道""}"
"2026-04-06","2026/4/6 22:24:45","exec.micro_started","{""taskId"":""t-1775484884608-2dfi"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道"",""microAction"":""打开小站托福""}"
"2026-04-06","2026/4/6 22:24:45","plan.brain_dump","{""tasks"":[{""id"":""t-1775484822776-saj9"",""title"":""口语前两问""},{""id"":""t-1775484884608-2dfi"",""title"":""老托阅读一道""},{""id"":""t-1775484919745-5uqr"",""title"":""日语：N4单词全总结完""},{""id"":""t-1775485168222-tzvm"",""title"":""主题词汇""}],""taskCount"":4}"
"2026-04-06","2026/4/6 22:24:45","plan.focus_selected","{""taskId"":""t-1775484884608-2dfi"",""taskTitle"":""老托阅读一道""}"
"2026-04-06","2026/4/6 22:24:45","plan.first_micro","{""source"":""self"",""taskId"":""t-1775484884608-2dfi"",""taskTitle"":""老托阅读一道"",""microAction"":""打开小站托福""}"
"2026-04-06","2026/4/6 22:26:12","exec.micro_completed","{""taskId"":""t-1775484884608-2dfi"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道"",""microAction"":""打开小站托福"",""actualSeconds"":86}"
"2026-04-06","2026/4/6 22:41:43","session.paused","{""taskId"":""t-1775484884608-2dfi"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道"",""microAction"":""老托阅读一道"",""elapsedSeconds"":1018,""completedMicroSteps"":1}"
"2026-04-06","2026/4/6 23:09:18","session.resumed","{""taskId"":""t-1775484884608-2dfi"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道"",""microAction"":""老托阅读一道"",""originalSessionId"":""s-1775485485483-9bm9"",""elapsedBeforePause"":1018,""completedMicroSteps"":1,""pausedDurationSeconds"":1654}"
"2026-04-06","2026/4/6 23:29:59","exec.flow_ended","{""taskId"":""t-1775484884608-2dfi"",""endReason"":""task_done"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道"",""flowDurationSeconds"":1241}"
"2026-04-06","2026/4/6 23:29:59","session.macro_completed","{""taskId"":""t-1775484884608-2dfi"",""taskTitle"":""老托阅读一道"",""completedVia"":""flow""}"
"2026-04-06","2026/4/6 23:29:59","session.ended","{""taskId"":""t-1775484884608-2dfi"",""endReason"":""task_done"",""sessionId"":""s-1775485485483-9bm9"",""taskTitle"":""老托阅读一道"",""completedMicroSteps"":1,""totalDurationSeconds"":2259}"
"2026-04-07","2026/4/7 00:05:39","mode.widget_expanded","{}"
"2026-04-07","2026/4/7 00:05:51","nav.date_changed","{""to"":""2026-04-07"",""from"":""2026-04-06"",""method"":""today""}"
"2026-04-07","2026/4/7 00:05:53","nav.date_changed","{""to"":""2026-04-06"",""from"":""2026-04-07"",""method"":""arrow""}"
"2026-04-07","2026/4/7 00:06:11","nav.date_changed","{""to"":""2026-04-07"",""from"":""2026-04-06"",""method"":""arrow""}"
"2026-04-07","2026/4/7 00:06:19","task.carried_over","{""taskIds"":[""t-1775484822776-saj9"",""t-1775484919745-5uqr"",""t-1775485168222-tzvm""],""fromDate"":""2026-04-06""}"
"2026-04-07","2026/4/7 00:08:01","mode.widget_entered","{}"
"2026-04-07","2026/4/7 00:09:19","mode.widget_expanded","{}"
"2026-04-07","2026/4/7 00:09:20","mode.widget_entered","{}"
"2026-04-07","2026/4/7 00:22:39","plan.brain_dump","{""tasks"":[{""id"":""1775491579981-kugf"",""title"":""口语前两问""},{""id"":""1775491579981-71cj"",""title"":""日语：N4单词全总结完""},{""id"":""1775491579981-pxs6"",""title"":""主题词汇""}],""taskCount"":3}"
"2026-04-07","2026/4/7 00:22:39","exec.micro_started","{""taskId"":""1775491579981-kugf"",""sessionId"":""s-1775492559036-f68d"",""taskTitle"":""口语前两问"",""microAction"":""打开口语题库页面""}"
"2026-04-07","2026/4/7 00:22:39","session.started","{""taskId"":""1775491579981-kugf"",""sessionId"":""s-1775492559036-f68d"",""taskTitle"":""口语前两问""}"
"2026-04-07","2026/4/7 00:22:39","plan.first_micro","{""source"":""ai_chip"",""taskId"":""1775491579981-kugf"",""taskTitle"":""口语前两问"",""microAction"":""打开口语题库页面""}"
"2026-04-07","2026/4/7 00:22:39","plan.focus_selected","{""taskId"":""1775491579981-kugf"",""taskTitle"":""口语前两问""}"
"2026-04-07","2026/4/7 00:22:40","exec.micro_completed","{""taskId"":""1775491579981-kugf"",""sessionId"":""s-1775492559036-f68d"",""taskTitle"":""口语前两问"",""microAction"":""打开口语题库页面"",""actualSeconds"":1}"
"2026-04-07","2026/4/7 00:23:43","session.macro_completed","{""taskId"":""1775491579981-kugf"",""taskTitle"":""口语前两问"",""completedVia"":""flow""}"
"2026-04-07","2026/4/7 00:23:43","session.ended","{""taskId"":""1775491579981-kugf"",""endReason"":""task_done"",""sessionId"":""s-1775492559036-f68d"",""taskTitle"":""口语前两问"",""completedMicroSteps"":1,""totalDurationSeconds"":64}"
"2026-04-07","2026/4/7 00:23:43","exec.flow_ended","{""taskId"":""1775491579981-kugf"",""endReason"":""task_done"",""sessionId"":""s-1775492559036-f68d"",""taskTitle"":""口语前两问"",""flowDurationSeconds"":62}"
"2026-04-07","2026/4/7 00:24:28","plan.brain_dump","{""tasks"":[{""id"":""1775491579981-71cj"",""title"":""日语：N4单词全总结完""},{""id"":""1775491579981-pxs6"",""title"":""主题词汇""}],""taskCount"":2}"
"2026-04-07","2026/4/7 00:24:28","plan.focus_selected","{""taskId"":""1775491579981-pxs6"",""taskTitle"":""主题词汇""}"
"2026-04-07","2026/4/7 00:24:28","plan.first_micro","{""source"":""self"",""taskId"":""1775491579981-pxs6"",""taskTitle"":""主题词汇"",""microAction"":""发给豆包帮我朗读""}"
"2026-04-07","2026/4/7 00:24:28","session.started","{""taskId"":""1775491579981-pxs6"",""sessionId"":""s-1775492668001-8u56"",""taskTitle"":""主题词汇""}"
"2026-04-07","2026/4/7 00:24:28","exec.micro_started","{""taskId"":""1775491579981-pxs6"",""sessionId"":""s-1775492668001-8u56"",""taskTitle"":""主题词汇"",""microAction"":""发给豆包帮我朗读""}"
"2026-04-07","2026/4/7 00:30:16","exec.micro_completed","{""taskId"":""1775491579981-pxs6"",""sessionId"":""s-1775492668001-8u56"",""taskTitle"":""主题词汇"",""microAction"":""发给豆包帮我朗读"",""actualSeconds"":348}"
"2026-04-07","2026/4/7 00:44:57","session.paused","{""taskId"":""1775491579981-pxs6"",""sessionId"":""s-1775492668001-8u56"",""taskTitle"":""主题词汇"",""microAction"":""主题词汇"",""elapsedSeconds"":1229,""completedMicroSteps"":1}"
"2026-04-07","2026/4/7 16:46:30","app.launched","{}"
"2026-04-07","2026/4/7 21:31:30","task.created","{""title"":""邮件"",""source"":""editor"",""taskId"":""t-1775568690886-hlxs""}"
"2026-04-07","2026/4/7 21:31:36","task.created","{""title"":""写作整理"",""source"":""editor"",""taskId"":""t-1775568696775-224j""}"
"2026-04-08","2026/4/8 12:03:56","app.launched","{}"
"2026-04-08","2026/4/8 12:05:11","task.carried_over","{""taskIds"":[""1775491579981-pxs6"",""t-1775568690886-hlxs"",""t-1775568696775-224j""],""fromDate"":""2026-04-07""}"
"2026-04-08","2026/4/8 12:05:11","task.carried_over","{""taskIds"":[""t-1775484822776-saj9""],""fromDate"":""2026-04-06""}"
"2026-04-08","2026/4/8 22:26:05","task.edited","{""field"":""title"",""taskId"":""1775621111266-c7ql""}"
